price_actual,total_renewable_energy
65.41,10956
64.92,10242
64.48,9736
59.32,9223
56.04,9167
53.63,9128
51.73,9009
51.43,8722
48.98,8502
54.2,9075
58.94,10278
59.86,10436
60.12,10731
62.05,10888
62.06,10623
59.76,10477
61.18,9506
64.74,8335
74.26,8176
74.24,10265
75.64,11344
73.92,11628
70.53,10843
64.13,8910
64.02,20314
58.46,19665
54.7,19338
54.91,19454
53.07,18994
54.23,18811
58.22,18981
67.55,18802
70.33,18448
71.26,18917
75.86,19697
73.65,21148
74.19,21804
71.51,22190
71.04,22116
71.24,21975
70.64,22053
72.85,20925
82.55,18502
83.33,18461
83.23,18319
79.06,18632
76.2,17600
71.75,16734
66.82,15725
63.35,15848
58.79,16378
57.44,16579
55.29,16639
56.22,17048
58.13,17096
62.06,16302
67.36,16068
69.21,16132
70.35,16538
68.77,17244
68.82,18236
68.23,19381
67.97,20371
62.76,20164
62.03,20030
66.69,18970
71.5,17836
72.14,17679
72.45,18306
72.86,18681
70.1,18679
67.62,18407
55.22,14381
50.54,13951
48.68,13516
48.02,13614
47.06,13795
46.79,13557
47.63,13692
47.44,13964
50.84,14404
54.84,16693
59.95,18271
59.35,19231
57.03,19049
59.22,18907
58.56,17824
52.07,17884
52.15,18040
61.12,18303
71.98,18463
74.64,18297
75.38,18296
76.49,17765
73.83,16553
69.51,15357
70.77,12563
64.89,13156
60.91,13376
58.04,15058
59.57,15153
69.73,15242
72.97,15126
77.92,15049
79.59,15172
81.75,16218
80.82,17656
89.08,15581
90.97,12892
88.51,10811
82.85,11249
80.52,10924
72.18,10531
71.48,7575
64.76,8309
60.22,8401
57.14,8002
53.94,7495
53.43,7221
56.68,5894
63.49,6071
66.75,7777
73.07,9541
78.95,10818
75.91,11459
73.12,12004
68.02,12180
66.67,12423
65.08,12159
66.1,12620
72,12240
78.6,11951
81.18,11102
81.65,10295
78.63,10245
73.2,9733
72.46,8418
67.24,10973
64.17,10340
62.12,9712
62.11,9186
60.05,9003
62.48,8656
70.01,8367
75.2,8646
83.3,9461
93.14,11063
100.45,11259
95.17,12640
85.23,14320
81.5,15179
77.29,15384
76.61,15749
77.15,15307
79.51,15070
91.05,14649
95.29,13437
91.25,12269
87.08,11449
78.15,10926
75.07,9809
73.73,9101
70.99,8702
68.3,8856
64.22,8700
63.53,8363
66.7,8791
69.79,9298
75.57,9064
82.36,8103
87.03,8743
91.08,10020
89.29,10276
85.45,10664
80.33,10816
77.33,10587
77.03,9983
78.15,9481
80.48,9432
90.87,9271
94.11,9232
90.26,9401
84.66,9346
77.05,9426
73.14,8567
67.7,6923
61.05,6588
59.61,6360
58.65,6345
58.4,6287
59.77,6411
68.38,7362
75.5,7703
81.67,7858
85.8,9166
92,10714
89.66,11401
85.5,11967
81.22,12323
77.08,11864
77.33,11881
80.09,11711
81.64,11824
88.51,12039
89,12059
87.11,11283
82.13,11090
78.39,9361
72.17,8006
61.8,5084
59.46,4261
55.97,3566
55.03,3500
54.53,3571
55.44,3477
57.22,4111
63.84,6359
71.4,7003
74.51,8207
77.05,9591
75.49,10813
74.23,11672
74,11703
72.86,11204
69.68,11133
68.36,11400
71.77,11292
77.55,10422
78.67,10648
78.46,10773
78.1,10654
70.98,8459
62.14,6508
60.35,8165
54.98,8258
53.36,8950
52.62,9699
49.17,10434
47.97,10798
49.1,11335
49.91,11809
51.53,13003
55.87,15509
55.81,16986
54.7,17451
52.89,18192
54.58,17905
54.82,17608
52.08,17752
52.05,17549
55.59,16194
77.6,15914
80.36,16329
82.29,16326
82.47,16367
78.06,16420
70.13,16045
60.81,5824
58.27,4565
53.65,4231
51.95,4070
51.4,4135
52.93,3998
58.8,4419
70.52,6590
75.72,8403
81.92,8933
85.63,9740
86.76,10013
82.78,9900
76.7,9386
74.35,8217
73.6,7730
74.74,7126
76.34,7452
84.23,8813
87.72,8448
86.54,8462
81.3,7992
69.06,7331
62.43,5785
55.61,11511
52.54,11533
50.97,11508
49.57,11580
48.74,11779
49.56,11568
53.96,10466
65.89,10582
73.97,12264
78.25,13371
83.44,13700
81.74,14128
78.22,13941
74.18,13841
69.45,12972
69.58,12652
