generation_biomass,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_poundage,generation_hydro_water reservoir,generation_marine,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,price_actual,total_renewable_energy
447,0,863,1051,1899,0,73,49,196,0,6378,65.41,10956
449,0,920,1009,1658,0,71,50,195,0,5890,64.92,10242
448,0,1164,973,1371,0,73,50,196,0,5461,64.48,9736
438,0,1503,949,779,0,75,50,191,0,5238,59.32,9223
428,0,1826,953,720,0,74,42,189,0,4935,56.04,9167
410,0,2109,952,743,0,74,34,188,0,4618,53.63,9128
401,0,2108,961,848,0,74,34,186,0,4397,51.73,9009
408,0,2031,983,1012,0,72,35,189,0,3992,51.43,8722
413,0,2119,1001,1015,0,73,54,198,0,3629,48.98,8502
419,0,2170,1041,1357,0,74,743,198,0,3073,54.2,9075
422,0,2020,1041,1817,0,72,2019,204,0,2683,58.94,10278
421,0,1183,1069,1516,0,73,3197,206,0,2771,59.86,10436
428,0,972,1052,1204,0,75,3885,209,0,2906,60.12,10731
425,0,922,1041,1286,0,74,4007,210,0,2923,62.05,10888
423,0,941,1028,1027,0,76,3973,210,0,2945,62.06,10623
421,0,1069,1023,1151,0,76,3818,210,0,2709,59.76,10477
422,0,970,1032,1156,0,75,3088,211,0,2552,61.18,9506
426,0,798,1036,1626,0,75,1467,208,0,2699,64.74,8335
427,0,1,1094,3203,0,74,404,209,0,2764,74.26,8176
442,0,1,1153,5333,0,76,139,208,0,2913,74.24,10265
445,0,0,1214,6183,0,74,100,210,0,3118,75.64,11344
443,0,0,1220,6231,0,74,75,212,0,3373,73.92,11628
440,0,0,1178,5359,0,74,74,210,0,3508,70.53,10843
438,0,0,1095,3511,0,74,56,209,0,3527,64.13,8910
368,0,1290,1268,3871,0,62,54,169,0,13232,64.02,20314
368,0,1996,1263,2996,0,61,54,167,0,12760,58.46,19665
358,0,2698,1246,2581,0,60,54,167,0,12174,54.7,19338
353,0,3269,1248,2933,0,59,53,181,0,11358,54.91,19454
354,0,3267,1233,2646,0,61,53,181,0,11199,53.07,18994
354,0,3258,1225,2529,0,59,63,171,0,11152,54.23,18811
357,0,3256,1241,2658,0,60,55,185,0,11169,58.22,18981
357,0,2987,1247,2706,0,60,54,186,0,11205,67.55,18802
359,0,2447,1274,3090,0,59,116,183,0,10920,70.33,18448
357,0,1907,1297,3579,0,59,1039,188,0,10491,71.26,18917
377,0,938,1319,4289,0,60,2373,185,0,10156,75.86,19697
376,0,747,1333,4332,0,59,3699,181,0,10421,73.65,21148
376,0,864,1324,3619,0,60,4154,177,0,11230,74.19,21804
373,0,906,1281,3392,0,61,4074,183,0,11920,71.51,22190
383,0,1047,1281,3487,0,58,3851,190,0,11819,71.04,22116
391,0,1491,1284,2984,0,57,3619,188,0,11961,71.24,21975
395,0,1975,1283,3104,0,59,3024,188,0,12025,70.64,22053
394,0,1760,1295,3102,0,59,2053,185,0,12077,72.85,20925
410,0,595,1324,3886,0,64,769,178,0,11276,82.55,18502
435,0,78,1352,5553,0,68,266,199,0,10510,83.33,18461
435,0,68,1369,5604,0,69,165,203,0,10406,83.23,18319
437,0,68,1370,5902,0,69,137,204,0,10445,79.06,18632
437,0,68,1365,5347,0,66,137,204,0,9976,76.2,17600
443,0,68,1323,4969,0,64,137,203,0,9527,71.75,16734
478,0,502,1423,3719,0,76,62,201,0,9264,66.82,15725
463,0,1048,1392,3482,0,68,62,198,0,9135,63.35,15848
452,0,1880,1296,3060,0,66,61,201,0,9362,58.79,16378
454,0,2441,1245,2474,0,68,61,208,0,9628,57.44,16579
449,0,2767,1221,2266,0,67,61,201,0,9607,55.29,16639
453,0,2953,1212,2449,0,66,61,188,0,9666,56.22,17048
458,0,2744,1215,2620,0,68,61,187,0,9743,58.13,17096
452,0,2279,1295,2559,0,67,63,186,0,9401,62.06,16302
438,0,2152,1295,3335,0,66,233,186,0,8363,67.36,16068
433,0,1081,1380,4229,0,68,820,197,0,7924,69.21,16132
419,0,341,1421,4827,0,68,1665,205,0,7592,70.35,16538
